id,label
blast (165),1
blast (166),1
blast (167),1
blast (168),1
blast (169),1
blast (170),1
blast (171),1
blast (172),1
blast (173),1
blast (174),1
blast (175),1
blast (176),1
blast (177),1
blast (178),1
blast (179),1
blast (180),1
blast (181),1
blast (182),1
blast (183),1
blast (184),1
blast (185),1
blast (186),1
blast (187),1
blast (188),1
blast (189),1
blast (190),1
blast (191),1
blast (192),1
blast (193),1
blast (194),1
blast (195),1
blast (196),1
blast (197),1
blast (198),1
blast (199),1
blast (200),1
blast (201),1
blast (202),1
blast (203),1
blast (204),1
blast (205),1
blast (206),1
blast (207),1
blast (208),1
blast (209),1
blast (210),1
blast (211),1
blast (212),1
blast (213),1
blast (214),1
blast (215),1
blast (216),1
blast (217),1
blast (218),1
blast (219),1
blast (220),1
blast (221),1
blast (222),1
blast (223),1
blast (224),1
blast (225),1
blast (226),1
blast (227),1
blast (228),1
blast (229),1
blast (230),1
blast (231),1
blast (232),1
blast (233),1
blast (234),1
blast (235),1
blast (236),1
blast (237),1
blast (238),1
blast (239),1
blast (240),1
blast (241),1
blast (242),1
blast (243),1
blast (244),1
blast (245),1
blast (246),1
blast (247),1
blast (248),1
blast (249),1
blast (250),1
blast (251),1
blast (252),1
blast (253),1
blast (254),1
blast (255),1
blast (256),1
blast (257),1
blast (258),1
blast (259),1
blast (260),1
blast (261),1
blast (262),1
blast (263),1
blast (264),1
blast (265),1
blast (266),1
blast (267),1
blast (268),1
blast (269),1
blast (270),1
blast (271),1
blast (272),1
blast (273),1
blast (274),1
blast (275),1
blast (276),1
blast (277),1
blast (278),1
blast (279),1
blast (280),1
blast (281),1
blast (282),1
blast (283),1
blast (284),1
blast (285),1
blast (286),1
blast (287),1
blast (288),1
blast (289),1
blast (290),1
blast (291),1
blast (292),1
blast (293),1
blast (294),1
blast (295),1
blast (296),1
blast (297),1
blast (298),1
blast (299),1
blast (300),1
blast (301),1
blast (302),1
blast (303),1
blast (304),1
blast (305),1
blast (306),1
blast (307),1
blast (308),1
blast (309),1
blast (310),1
blast (311),1
blast (312),1
blast (313),1
blast (314),1
blast (315),1
blast (316),1
blast (317),1
blast (318),1
blast (319),1
blast (320),1
blast (321),1
blast (322),1
blast (323),1
blast (324),1
blast (325),1
blast (326),1
blast (327),1
blast (328),1
blast (329),1
blast (330),1
blast (331),1
blast (332),1
blast (333),1
blast (334),1
blast (335),1
blast (336),1
blast (337),1
blast (338),1
blast (339),1
blast (340),1
blast (341),1
blast (342),1
blast (343),1
blast (344),1
blast (345),1
blast (346),1
blast (347),1
blast (348),1
blast (349),1
blast (350),1
blast (351),1
blast (352),1
blast (353),1
blast (354),1
blast (355),1
blast (356),1
blast (357),1
blast (358),1
blast (359),1
blast (360),1
blast (361),1
blast (362),1
blast (363),1
blast (364),1
blast (365),1
blast (366),1
blast (367),1
blast (368),1
blast (369),1
blast (370),1
blast (371),1
blast (372),1
blast (373),1
blast (374),1
blast (375),1
blast (376),1
blast (377),1
blast (378),1
blast (379),1
blast (380),1
blast (381),1
blast (382),1
blast (383),1
blast (384),1
blast (385),1
blast (386),1
blast (387),1
blast (388),1
blast (389),1
blast (390),1
blast (391),1
blast (392),1
blast (393),1
blast (394),1
blast (395),1
blast (396),1
blast (397),1
blast (398),1
blast (399),1
blast (400),1
blast (401),1
blast (402),1
blast (403),1
blast (404),1
blast (405),1
blast (406),1
blast (407),1
blast (408),1
blast (409),1
blast (410),1
blast (411),1
blast (412),1
blast (413),1
blast (414),1
blast (415),1
blast (416),1
blast (417),1
blast (418),1
blast (419),1
blast (420),1
blast (421),1
blast (422),1
blast (423),1
blast (424),1
blast (425),1
blast (426),1
blast (427),1
blast (428),1
blast (429),1
blast (430),1
blast (431),1
blast (432),1
blast (433),1
blast (434),1
blast (435),1
blast (436),1
blast (437),1
blast (438),1
blast (439),1
blast (440),1
blast (441),1
blast (442),1
blast (443),1
blast (444),1
blast (445),1
blast (446),1
blast (447),1
blast (448),1
blast (449),1
blast (450),1
blast (451),1
blast (452),1
blast (453),1
blast (454),1
blast (455),1
blast (456),1
blast (457),1
blast (458),1
blast (459),1
blast (460),1
blast (461),1
blast (462),1
blast (463),1
blast (464),1
blast (465),1
blast (466),1
blast (467),1
blast (468),1
blast (469),1
blast (470),1
blast (471),1
blast (472),1
blast (473),1
blast (474),1
blast (475),1
blast (476),1
blast (477),1
blast (478),1
blast (479),1
blast (480),1
blast (481),1
blast (482),1
blast (483),1
blast (484),1
blast (485),1
blast (486),1
blast (487),1
blast (488),1
blast (489),1
blast (490),1
blast (491),1
blast (492),1
blast (493),1
blast (494),1
blast (495),1
blast (496),1
blast (497),1
blast (498),1
blast (499),1
blast (500),1
blast (501),1
blast (502),1
blast (503),1
blast (504),1
blast (505),1
blast (506),1
blast (507),1
blast (508),1
blast (509),1
blast (510),1
bac (1),2
bac (2),2
bac (3),2
bac (4),2
bac (5),2
bac (6),2
bac (7),2
bac (8),2
bac (9),2
bac (10),2
bac (11),2
bac (12),2
bac (13),2
bac (14),2
bac (15),2
bac (16),2
bac (17),2
bac (18),2
bac (19),2
bac (20),2
bac (21),2
bac (22),2
bac (23),2
bac (24),2
bac (25),2
bac (26),2
bac (27),2
bac (28),2
bac (29),2
bac (30),2
bac (31),2
bac (32),2
bac (33),2
bac (34),2
bac (35),2
bac (36),2
bac (37),2
bac (38),2
bac (39),2
bac (40),2
bac (41),2
bac (42),2
bac (43),2
bac (44),2
bac (45),2
bac (46),2
bac (47),2
bac (48),2
bac (49),2
bac (50),2
bac (51),2
bac (52),2
bac (53),2
bac (54),2
bac (55),2
bac (56),2
bac (57),2
bac (58),2
bac (59),2
bac (60),2
bac (61),2
bac (62),2
bac (63),2
bac (64),2
bac (65),2
bac (66),2
bac (67),2
bac (68),2
bac (69),2
bac (70),2
bac (71),2
bac (72),2
bac (73),2
bac (74),2
bac (75),2
bac (76),2
bac (77),2
bac (78),2
bac (79),2
bac (80),2
bac (81),2
bac (82),2
bac (83),2
bac (84),2
bac (85),2
bac (86),2
bac (87),2
bac (88),2
bac (89),2
bac (90),2
bac (91),2
bac (92),2
bac (93),2
bac (94),2
bac (95),2
bac (96),2
bac (97),2
bac (98),2
bac (99),2
bac (100),2
bac (101),2
bac (102),2
bac (103),2
bac (104),2
bac (105),2
bac (106),2
bac (107),2
bac (108),2
bac (109),2
bac (110),2
bac (111),2
bac (112),2
bac (113),2
bac (114),2
bac (115),2
bac (116),2
bac (117),2
bac (118),2
bac (119),2
bac (120),2
bac (121),2
bac (122),2
bac (123),2
bac (124),2
bac (125),2
bac (126),2
bac (127),2
bac (128),2
bac (129),2
bac (130),2
bac (131),2
bac (132),2
bac (133),2
bac (134),2
bac (135),2
bac (136),2
bac (137),2
bac (138),2
bac (139),2
bac (140),2
bac (141),2
bac (142),2
bac (143),2
bac (144),2
bac (145),2
bac (146),2
bac (147),2
bac (148),2
bac (149),2
bac (150),2
bac (151),2
bac (152),2
bac (153),2
bac (154),2
bac (155),2
bac (156),2
bac (157),2
bac (158),2
bac (159),2
bac (160),2
bac (161),2
bac (162),2
bac (163),2
bac (164),2
bac (165),2
bac (166),2
bac (167),2
bac (168),2
bac (169),2
bac (170),2
bac (171),2
bac (172),2
bac (173),2
bac (174),2
bac (175),2
bac (176),2
bac (177),2
bac (178),2
bac (179),2
bac (180),2
bac (181),2
bac (182),2
bac (183),2
bac (184),2
bac (185),2
bac (186),2
bac (187),2
bac (188),2
bac (189),2
bac (190),2
bac (191),2
bac (192),2
bac (193),2
bac (194),2
bac (195),2
bac (196),2
bac (197),2
bac (198),2
bac (199),2
bac (200),2
bac (201),2
bac (202),2
bac (203),2
bac (204),2
bac (205),2
bac (206),2
bac (207),2
bac (208),2
bac (209),2
bac (210),2
bac (211),2
bac (212),2
bac (213),2
bac (214),2
bac (215),2
bac (216),2
bac (217),2
bac (218),2
bac (219),2
bac (220),2
bac (221),2
bac (222),2
bac (223),2
bac (224),2
bac (225),2
bac (226),2
bac (227),2
bac (228),2
bac (229),2
bac (230),2
bac (231),2
bac (232),2
bac (233),2
bac (234),2
bac (235),2
bac (236),2
bac (237),2
bac (238),2
bac (239),2
bac (240),2
bac (241),2
bac (242),2
bac (243),2
bac (244),2
bac (245),2
bac (246),2
bac (247),2
bac (248),2
bac (249),2
bac (250),2
bac (251),2
bac (252),2
bac (253),2
bac (254),2
bac (255),2
bac (256),2
bac (257),2
bac (258),2
bac (259),2
bac (260),2
bac (261),2
bac (262),2
bac (263),2
bac (264),2
bac (265),2
bac (266),2
bac (267),2
bac (268),2
bac (269),2
bac (270),2
bac (271),2
bac (272),2
bac (273),2
bac (274),2
bac (275),2
bac (276),2
bac (277),2
bac (278),2
bac (279),2
bac (280),2
bac (281),2
bac (282),2
bac (283),2
bac (284),2
bac (285),2
bac (286),2
bac (287),2
bac (288),2
bac (289),2
bac (290),2
bac (291),2
bac (292),2
bac (293),2
bac (294),2
bac (295),2
bac (296),2
bac (297),2
bac (298),2
bac (299),2
bac (300),2
bac (301),2
bac (302),2
bac (303),2
bac (304),2
bac (305),2
bac (306),2
bac (307),2
bac (308),2
bac (309),2
bac (310),2
bac (311),2
bac (312),2
bac (313),2
bac (314),2
bac (315),2
bac (316),2
bac (317),2
bac (318),2
bac (319),2
bac (320),2
bac (321),2
bac (322),2
bac (323),2
bac (324),2
bac (325),2
bac (326),2
bac (327),2
bac (328),2
bac (329),2
bac (330),2
bac (331),2
bac (332),2
bac (333),2
bac (334),2
bac (335),2
bac (336),2
bac (337),2
bac (338),2
bac (339),2
bac (340),2
bac (341),2
bac (342),2
bac (343),2
bac (344),2
bac (345),2
bac (346),2
bac (347),2
bac (348),2
bac (349),2
bac (350),2
bac (351),2
bac (352),2
bac (353),2
bac (354),2
bac (355),2
bac (356),2
bac (357),2
bac (358),2
bac (359),2
bac (360),2
bac (361),2
bac (362),2
bac (363),2
bac (364),2
bac (365),2
bac (366),2
bac (367),2
bac (368),2
bac (369),2
bac (370),2
bac (371),2
bac (372),2
bac (373),2
bac (374),2
bac (375),2
bac (376),2
bac (377),2
bac (378),2
bac (379),2
bac (380),2
bac (381),2
bac (382),2
bac (383),2
bac (384),2
bac (385),2
bac (386),2
bac (387),2
bac (388),2
bac (389),2
bac (390),2
bac (391),2
bac (392),2
bac (393),2
bac (394),2
bac (395),2
bac (396),2
bac (397),2
bac (398),2
bac (399),2
bac (400),2
bac (401),2
bac (402),2
bac (403),2
bac (404),2
bac (405),2
bac (406),2
bac (407),2
bac (408),2
bac (409),2
bac (410),2
bac (411),2
bac (412),2
bac (413),2
bac (414),2
bac (415),2
bac (416),2
bac (417),2
bac (418),2
bac (419),2
bac (420),2
bac (421),2
bac (422),2
bac (423),2
bac (424),2
bac (425),2
bac (426),2
bac (427),2
bac (428),2
bac (429),2
bac (430),2
bac (431),2
bac (432),2
bac (433),2
bac (434),2
bac (435),2
bac (436),2
bac (437),2
bac (438),2
bac (439),2
bac (440),2
bac (441),2
bac (442),2
bac (443),2
bac (444),2
bac (445),2
bac (446),2
bac (447),2
bac (448),2
bac (449),2
bac (450),2
bac (451),2
bac (452),2
bac (453),2
bac (454),2
bac (455),2
bac (456),2
bac (457),2
bac (458),2
bac (459),2
bac (460),2
bac (461),2
bac (462),2
bac (463),2
bac (464),2
bac (465),2
bac (466),2
bac (467),2
bac (468),2
bac (469),2
bac (470),2
bac (471),2
bac (472),2
bac (473),2
bac (474),2
bac (475),2
bac (476),2
bac (477),2
bac (478),2
bac (479),2
bac (480),2
bac (481),2
bac (482),2
bac (483),2
bac (484),2
bac (485),2
bac (486),2
bac (487),2
bac (488),2
bac (489),2
bac (490),2
bac (491),2
bac (492),2
bac (493),2
bac (494),2
bac (495),2
bac (496),2
bac (497),2
bac (498),2
bac (499),2
bac (500),2
bac (501),2
bac (502),2
bac (503),2
bac (504),2
bac (505),2
bac (506),2
bac (507),2
bac (508),2
bac (509),2
bac (510),2
brownspot (1),3
brownspot (2),3
brownspot (3),3
brownspot (4),3
brownspot (5),3
brownspot (6),3
brownspot (7),3
brownspot (8),3
brownspot (9),3
brownspot (10),3
brownspot (11),3
brownspot (12),3
brownspot (13),3
brownspot (14),3
brownspot (15),3
brownspot (16),3
brownspot (17),3
brownspot (18),3
brownspot (19),3
brownspot (20),3
brownspot (21),3
brownspot (22),3
brownspot (23),3
brownspot (24),3
brownspot (25),3
brownspot (26),3
brownspot (27),3
brownspot (28),3
brownspot (29),3
brownspot (30),3
brownspot (31),3
brownspot (32),3
brownspot (33),3
brownspot (34),3
brownspot (35),3
brownspot (36),3
brownspot (37),3
brownspot (38),3
brownspot (39),3
brownspot (40),3
brownspot (41),3
brownspot (42),3
brownspot (43),3
brownspot (44),3
brownspot (45),3
brownspot (46),3
brownspot (47),3
brownspot (48),3
brownspot (49),3
brownspot (50),3
brownspot (51),3
brownspot (52),3
brownspot (53),3
brownspot (54),3
brownspot (55),3
brownspot (56),3
brownspot (57),3
brownspot (58),3
brownspot (59),3
brownspot (60),3
brownspot (61),3
brownspot (62),3
brownspot (63),3
brownspot (64),3
brownspot (65),3
brownspot (66),3
brownspot (67),3
brownspot (68),3
brownspot (69),3
brownspot (70),3
brownspot (71),3
brownspot (72),3
brownspot (73),3
brownspot (74),3
brownspot (75),3
brownspot (76),3
brownspot (77),3
brownspot (78),3
brownspot (79),3
brownspot (80),3
brownspot (81),3
brownspot (82),3
brownspot (83),3
brownspot (84),3
brownspot (85),3
brownspot (86),3
brownspot (87),3
brownspot (88),3
brownspot (89),3
brownspot (90),3
brownspot (91),3
brownspot (92),3
brownspot (93),3
brownspot (94),3
brownspot (95),3
brownspot (96),3
brownspot (97),3
brownspot (98),3
brownspot (99),3
brownspot (100),3
brownspot (101),3
brownspot (102),3
brownspot (103),3
brownspot (104),3
brownspot (105),3
brownspot (106),3
brownspot (107),3
brownspot (108),3
brownspot (109),3
brownspot (110),3
brownspot (111),3
brownspot (112),3
brownspot (113),3
brownspot (114),3
brownspot (115),3
brownspot (116),3
brownspot (117),3
brownspot (118),3
brownspot (119),3
brownspot (120),3
brownspot (121),3
brownspot (122),3
brownspot (123),3
brownspot (124),3
brownspot (125),3
brownspot (126),3
brownspot (127),3
brownspot (128),3
brownspot (129),3
brownspot (130),3
brownspot (131),3
brownspot (132),3
brownspot (133),3
brownspot (134),3
brownspot (135),3
brownspot (136),3
brownspot (137),3
brownspot (138),3
brownspot (139),3
brownspot (140),3
brownspot (141),3
brownspot (142),3
brownspot (143),3
brownspot (144),3
brownspot (145),3
brownspot (146),3
brownspot (147),3
brownspot (148),3
brownspot (149),3
brownspot (150),3
brownspot (151),3
brownspot (152),3
brownspot (153),3
brownspot (154),3
brownspot (155),3
brownspot (156),3
brownspot (157),3
brownspot (158),3
brownspot (159),3
brownspot (160),3
brownspot (161),3
brownspot (162),3
brownspot (163),3
brownspot (164),3
brownspot (165),3
brownspot (166),3
brownspot (167),3
brownspot (168),3
brownspot (169),3
brownspot (170),3
brownspot (171),3
brownspot (172),3
brownspot (173),3
brownspot (174),3
brownspot (175),3
brownspot (176),3
brownspot (177),3
brownspot (178),3
brownspot (179),3
brownspot (180),3
brownspot (181),3
brownspot (182),3
brownspot (183),3
brownspot (184),3
brownspot (185),3
brownspot (186),3
brownspot (187),3
brownspot (188),3
brownspot (189),3
brownspot (190),3
brownspot (191),3
brownspot (192),3
brownspot (193),3
brownspot (194),3
brownspot (195),3
brownspot (196),3
brownspot (197),3
brownspot (198),3
brownspot (199),3
brownspot (200),3
brownspot (201),3
brownspot (202),3
brownspot (203),3
brownspot (204),3
brownspot (205),3
brownspot (206),3
brownspot (207),3
brownspot (208),3
brownspot (209),3
brownspot (210),3
brownspot (211),3
brownspot (212),3
brownspot (213),3
brownspot (214),3
brownspot (215),3
brownspot (216),3
brownspot (217),3
brownspot (218),3
brownspot (219),3
brownspot (220),3
brownspot (221),3
brownspot (222),3
brownspot (223),3
brownspot (224),3
brownspot (225),3
brownspot (226),3
brownspot (227),3
brownspot (228),3
brownspot (229),3
brownspot (230),3
brownspot (231),3
brownspot (232),3
brownspot (233),3
brownspot (234),3
brownspot (235),3
brownspot (236),3
brownspot (237),3
brownspot (238),3
brownspot (239),3
brownspot (240),3
brownspot (241),3
brownspot (242),3
brownspot (243),3
brownspot (244),3
brownspot (245),3
brownspot (246),3
brownspot (247),3
brownspot (248),3
brownspot (249),3
brownspot (250),3
brownspot (251),3
brownspot (252),3
brownspot (253),3
brownspot (254),3
brownspot (255),3
brownspot (256),3
brownspot (257),3
brownspot (258),3
brownspot (259),3
brownspot (260),3
brownspot (261),3
brownspot (262),3
brownspot (263),3
brownspot (264),3
brownspot (265),3
brownspot (266),3
brownspot (267),3
brownspot (268),3
brownspot (269),3
brownspot (270),3
brownspot (271),3
brownspot (272),3
brownspot (273),3
brownspot (274),3
brownspot (275),3
brownspot (276),3
brownspot (277),3
brownspot (278),3
brownspot (279),3
brownspot (280),3
brownspot (281),3
brownspot (282),3
brownspot (283),3
brownspot (284),3
brownspot (285),3
brownspot (286),3
brownspot (287),3
brownspot (288),3
brownspot (289),3
brownspot (290),3
brownspot (291),3
brownspot (292),3
brownspot (293),3
brownspot (294),3
brownspot (295),3
brownspot (296),3
brownspot (297),3
brownspot (298),3
brownspot (299),3
brownspot (300),3
brownspot (301),3
brownspot (302),3
brownspot (303),3
brownspot (304),3
brownspot (305),3
brownspot (306),3
brownspot (307),3
brownspot (308),3
brownspot (309),3
brownspot (310),3
brownspot (311),3
brownspot (312),3
brownspot (313),3
brownspot (314),3
brownspot (315),3
brownspot (316),3
brownspot (317),3
brownspot (318),3
brownspot (319),3
brownspot (320),3
brownspot (321),3
brownspot (322),3
brownspot (323),3
brownspot (324),3
brownspot (325),3
brownspot (326),3
brownspot (327),3
brownspot (328),3
brownspot (329),3
brownspot (330),3
brownspot (331),3
brownspot (332),3
brownspot (333),3
brownspot (334),3
brownspot (335),3
brownspot (336),3
brownspot (337),3
brownspot (338),3
brownspot (339),3
brownspot (340),3
brownspot (341),3
brownspot (342),3
brownspot (343),3
brownspot (344),3
brownspot (345),3
brownspot (346),3
brownspot (347),3
brownspot (348),3
brownspot (349),3
brownspot (350),3
brownspot (351),3
brownspot (352),3
brownspot (353),3
brownspot (354),3
brownspot (355),3
brownspot (356),3
brownspot (357),3
brownspot (358),3
brownspot (359),3
brownspot (360),3
brownspot (361),3
brownspot (362),3
brownspot (363),3
brownspot (364),3
brownspot (365),3
brownspot (366),3
brownspot (367),3
brownspot (368),3
brownspot (369),3
brownspot (370),3
brownspot (371),3
brownspot (372),3
brownspot (373),3
brownspot (374),3
brownspot (375),3
brownspot (376),3
brownspot (377),3
brownspot (378),3
brownspot (379),3
brownspot (380),3
brownspot (381),3
brownspot (382),3
brownspot (383),3
brownspot (384),3
brownspot (385),3
brownspot (386),3
brownspot (387),3
brownspot (388),3
brownspot (389),3
brownspot (390),3
brownspot (391),3
brownspot (392),3
brownspot (393),3
brownspot (394),3
brownspot (395),3
brownspot (396),3
brownspot (397),3
brownspot (398),3
brownspot (399),3
brownspot (400),3
brownspot (401),3
brownspot (402),3
brownspot (403),3
brownspot (404),3
brownspot (405),3
brownspot (406),3
brownspot (407),3
brownspot (408),3
brownspot (409),3
brownspot (410),3
brownspot (411),3
brownspot (412),3
brownspot (413),3
brownspot (414),3
brownspot (415),3
brownspot (416),3
brownspot (417),3
brownspot (418),3
brownspot (419),3
brownspot (420),3
brownspot (421),3
brownspot (422),3
brownspot (423),3
brownspot (424),3
brownspot (425),3
brownspot (426),3
brownspot (427),3
brownspot (428),3
brownspot (429),3
brownspot (430),3
brownspot (431),3
brownspot (432),3
brownspot (433),3
brownspot (434),3
brownspot (435),3
brownspot (436),3
brownspot (437),3
brownspot (438),3
brownspot (439),3
brownspot (440),3
brownspot (441),3
brownspot (442),3
brownspot (443),3
brownspot (444),3
brownspot (445),3
brownspot (446),3
brownspot (447),3
brownspot (448),3
brownspot (449),3
brownspot (450),3
brownspot (451),3
brownspot (452),3
brownspot (453),3
brownspot (454),3
brownspot (455),3
brownspot (456),3
brownspot (457),3
brownspot (458),3
brownspot (459),3
brownspot (460),3
brownspot (461),3
brownspot (462),3
brownspot (463),3
brownspot (464),3
brownspot (465),3
brownspot (466),3
brownspot (467),3
brownspot (468),3
brownspot (469),3
brownspot (470),3
brownspot (471),3
brownspot (472),3
brownspot (473),3
brownspot (474),3
brownspot (475),3
brownspot (476),3
brownspot (477),3
brownspot (478),3
brownspot (479),3
brownspot (480),3
brownspot (481),3
brownspot (482),3
brownspot (483),3
brownspot (484),3
brownspot (485),3
brownspot (486),3
brownspot (487),3
brownspot (488),3
brownspot (489),3
brownspot (490),3
brownspot (491),3
brownspot (492),3
brownspot (493),3
brownspot (494),3
brownspot (495),3
brownspot (496),3
brownspot (497),3
brownspot (498),3
brownspot (499),3
brownspot (500),3
brownspot (501),3
brownspot (502),3
brownspot (503),3
brownspot (504),3
brownspot (505),3
brownspot (506),3
brownspot (507),3
brownspot (508),3
brownspot (509),3
brownspot (510),3
sheath_blight (1),4
sheath_blight (2),4
sheath_blight (3),4
sheath_blight (4),4
sheath_blight (5),4
sheath_blight (6),4
sheath_blight (7),4
sheath_blight (8),4
sheath_blight (9),4
sheath_blight (10),4
sheath_blight (11),4
sheath_blight (12),4
sheath_blight (13),4
sheath_blight (14),4
sheath_blight (15),4
sheath_blight (16),4
sheath_blight (17),4
sheath_blight (18),4
sheath_blight (19),4
sheath_blight (20),4
sheath_blight (21),4
sheath_blight (22),4
sheath_blight (23),4
sheath_blight (24),4
sheath_blight (25),4
sheath_blight (26),4
sheath_blight (27),4
sheath_blight (28),4
sheath_blight (29),4
sheath_blight (30),4
sheath_blight (31),4
sheath_blight (32),4
sheath_blight (33),4
sheath_blight (34),4
sheath_blight (35),4
sheath_blight (36),4
sheath_blight (37),4
sheath_blight (38),4
sheath_blight (39),4
sheath_blight (40),4
sheath_blight (41),4
sheath_blight (42),4
sheath_blight (43),4
sheath_blight (44),4
sheath_blight (45),4
sheath_blight (46),4
sheath_blight (47),4
sheath_blight (48),4
sheath_blight (49),4
sheath_blight (50),4
sheath_blight (51),4
sheath_blight (52),4
sheath_blight (53),4
sheath_blight (54),4
sheath_blight (55),4
sheath_blight (56),4
sheath_blight (57),4
sheath_blight (58),4
sheath_blight (59),4
sheath_blight (60),4
sheath_blight (61),4
sheath_blight (62),4
sheath_blight (63),4
sheath_blight (64),4
sheath_blight (65),4
sheath_blight (66),4
sheath_blight (67),4
sheath_blight (68),4
sheath_blight (69),4
sheath_blight (70),4
sheath_blight (71),4
sheath_blight (72),4
sheath_blight (73),4
sheath_blight (74),4
sheath_blight (75),4
sheath_blight (76),4
sheath_blight (77),4
sheath_blight (78),4
sheath_blight (79),4
sheath_blight (80),4
sheath_blight (81),4
sheath_blight (82),4
sheath_blight (83),4
sheath_blight (84),4
sheath_blight (85),4
sheath_blight (86),4
sheath_blight (87),4
sheath_blight (88),4
sheath_blight (89),4
sheath_blight (90),4
sheath_blight (91),4
sheath_blight (92),4
sheath_blight (93),4
sheath_blight (94),4
sheath_blight (95),4
sheath_blight (96),4
sheath_blight (97),4
sheath_blight (98),4
sheath_blight (99),4
sheath_blight (100),4
sheath_blight (101),4
sheath_blight (102),4
sheath_blight (103),4
sheath_blight (104),4
sheath_blight (105),4
sheath_blight (106),4
sheath_blight (107),4
sheath_blight (108),4
sheath_blight (109),4
sheath_blight (110),4
sheath_blight (111),4
sheath_blight (112),4
sheath_blight (113),4
sheath_blight (114),4
sheath_blight (115),4
sheath_blight (116),4
sheath_blight (117),4
sheath_blight (118),4
sheath_blight (119),4
sheath_blight (120),4
sheath_blight (121),4
sheath_blight (122),4
sheath_blight (123),4
sheath_blight (124),4
sheath_blight (125),4
sheath_blight (126),4
sheath_blight (127),4
sheath_blight (128),4
sheath_blight (129),4
sheath_blight (130),4
sheath_blight (131),4
sheath_blight (132),4
sheath_blight (133),4
sheath_blight (134),4
sheath_blight (135),4
sheath_blight (136),4
sheath_blight (137),4
sheath_blight (138),4
sheath_blight (139),4
sheath_blight (140),4
sheath_blight (141),4
sheath_blight (142),4
sheath_blight (143),4
sheath_blight (144),4
sheath_blight (145),4
sheath_blight (146),4
sheath_blight (147),4
sheath_blight (148),4
sheath_blight (149),4
sheath_blight (150),4
sheath_blight (151),4
sheath_blight (152),4
sheath_blight (153),4
sheath_blight (154),4
sheath_blight (155),4
sheath_blight (156),4
sheath_blight (157),4
sheath_blight (158),4
sheath_blight (159),4
sheath_blight (160),4
sheath_blight (161),4
sheath_blight (162),4
sheath_blight (163),4
sheath_blight (164),4
sheath_blight (165),4
sheath_blight (166),4
sheath_blight (167),4
sheath_blight (168),4
sheath_blight (169),4
sheath_blight (170),4
sheath_blight (171),4
sheath_blight (172),4
sheath_blight (173),4
sheath_blight (174),4
sheath_blight (175),4
sheath_blight (176),4
sheath_blight (177),4
sheath_blight (178),4
sheath_blight (179),4
sheath_blight (180),4
sheath_blight (181),4
sheath_blight (182),4
sheath_blight (183),4
sheath_blight (184),4
sheath_blight (185),4
sheath_blight (186),4
sheath_blight (187),4
sheath_blight (188),4
sheath_blight (189),4
sheath_blight (190),4
sheath_blight (191),4
sheath_blight (192),4
sheath_blight (193),4
sheath_blight (194),4
sheath_blight (195),4
sheath_blight (196),4
sheath_blight (197),4
sheath_blight (198),4
sheath_blight (199),4
sheath_blight (200),4
sheath_blight (201),4
sheath_blight (202),4
sheath_blight (203),4
sheath_blight (204),4
sheath_blight (205),4
